Obj,Type,Resolution,Chamfer distance,Hausdorff distance
Obj,Type,Resolution,Chamfer distance,Hausdorff distance
Obj,Type,Resolution,Chamfer distance,Hausdorff distance
bunny.obj,1LoD,64,0.018809354216083207,0.25349384274163483
bunny.obj,1LoD,128,0.021210807624215792,0.2573950543931329
bunny.obj,1LoD,256,0.02309349464918896,0.2577465451479422
bunny.obj,MLoD,64,0.005411500142869443,0.2058461678705791
bunny.obj,MLoD,128,0.0033603578391429648,0.20524654653704755
bunny.obj,MLoD,256,0.0036536949480470583,0.2062301895156776
bunny.obj,Hash,64,0.024132348418586393,1.0191490406052823
bunny.obj,Hash,128,0.060331792191916665,1.2495034161855756
bunny.obj,Hash,256,0.09162400681010707,1.2500250681809228
column.obj,1LoD,64,0.013945896124706106,0.08144800158121497
column.obj,1LoD,128,0.009956029021312665,0.07859217000738483
column.obj,1LoD,256,0.008679324301688787,0.08500599189391882
column.obj,MLoD,64,0.005711157033410057,0.03141976509837053
column.obj,MLoD,128,0.003078919098524701,0.020127405922245465
column.obj,MLoD,256,0.002283853105394672,0.015666088696500092
dragon_original.obj,1LoD,64,0.013836555547348688,0.07697048424394928
dragon_original.obj,1LoD,128,0.009502294437130666,0.0856442969266065
dragon_original.obj,1LoD,256,0.008427849442653255,0.0907457196690998
dragon_original.obj,MLoD,64,0.004880783035382133,0.07183414447923461
dragon_original.obj,MLoD,128,0.002555514958249343,0.05569841347179092
dragon_original.obj,MLoD,256,0.0019017451293377014,0.055061235190592556
serapis.obj,1LoD,64,0.017036972107937594,0.28838872949697136
serapis.obj,1LoD,128,0.018649556772241515,0.2969602486010321
serapis.obj,1LoD,256,0.02292940429352315,0.3053327617432308
serapis.obj,MLoD,64,0.011529533470581107,0.2837938019457176
serapis.obj,MLoD,128,0.006147047783306691,0.26795013673421436
serapis.obj,MLoD,256,0.00889987913417311,0.2834851855979525
utah_teapot.obj,1LoD,64,0.018139953146823557,0.2012773212636678
utah_teapot.obj,1LoD,128,0.022164608141126238,0.2037789682264996
utah_teapot.obj,1LoD,256,0.024982885840862293,0.20612369120959553
utah_teapot.obj,MLoD,64,0.004181429844283087,0.04238634091073666
utah_teapot.obj,MLoD,128,0.002449469917574873,0.02274524993386146
utah_teapot.obj,MLoD,256,0.0015579490978973973,0.020723068349377847
