Obj,Type,Resolution,Chamfer distance,Hausdorf distance
bunny.obj,1LoD,64,0.0188093542160832,0.253493842741634
bunny.obj,1LoD,128,0.0212108076242157,0.257395054393132
bunny.obj,1LoD,256,0.0230934946491889,0.257746545147942
bunny.obj,MLoD,64,0.0054115001428694,0.205846167870579
bunny.obj,MLoD,128,0.0033603578391430,0.205246546537047
bunny.obj,MLoD,256,0.0036536949480471,0.206230189515677
bunny.obj,Hash,64,0.0240752355020037,1.019861973525160
bunny.obj,Hash,128,0.0604147013656538,1.249542449673860
bunny.obj,Hash,256,0.0914155088978006,1.250551423549060
column.obj,MLoD,256,0.0022815178238465,0.015638591215133
column.obj,MLoD,128,0.0030790742422445,0.020249646798672
column.obj,MLoD,64,0.0057045044268991,0.031423941380953
column.obj,1LoD,256,0.0086748377048451,0.085187410232482
column.obj,1LoD,128,0.0099551782793195,0.078068108687072
column.obj,1LoD,64,0.0139538971762474,0.081792921795287
column.obj,Hash,64,0.1358981453851490,1.212130537950050
column.obj,Hash,128,0.2849410456233580,1.230917396452600
column.obj,Hash,256,0.3221290608905250,1.303337091106960
dragon_original.obj,MLoD,256,0.0019058040261706,0.055065649338197
dragon_original.obj,MLoD,128,0.0025538376212217,0.055624474873624
dragon_original.obj,MLoD,64,0.0048854154636486,0.071935738812904
dragon_original.obj,1LoD,256,0.0084306411752917,0.090433900099041
dragon_original.obj,1LoD,128,0.0094954362863704,0.085764751344411
dragon_original.obj,Hash,64,0.0278549769291952,1.198966598693500
dragon_original.obj,Hash,128,0.0693429030021837,1.218254434746560
dragon_original.obj,1LoD,64,0.0138435482714920,0.076071622967221
dragon_original.obj,Hash,256,0.1195382716140560,1.219757192745070
serapis.obj,MLoD,128,0.0061308687627655,0.268026701967327
serapis.obj,MLoD,256,0.0088532714149918,0.284572606605357
serapis.obj,MLoD,64,0.0115114648878472,0.283759434245886
serapis.obj,1LoD,64,0.0170637503299646,0.288264716387981
serapis.obj,1LoD,128,0.0186486611712617,0.297032185044183
serapis.obj,1LoD,256,0.0229512367619331,0.304983085151659
serapis.obj,Hash,64,0.0313978994984823,1.194944149826320
serapis.obj,Hash,128,0.0692456015053979,1.195865817283910
serapis.obj,Hash,256,0.0849120047126313,1.197352168375910
utah_teapot.obj,MLoD,256,0.0015566249124189,0.020657547490503
utah_teapot.obj,MLoD,128,0.0024471934720788,0.022535279130356
utah_teapot.obj,MLoD,64,0.0041815177346084,0.042191192800051
utah_teapot.obj,Hash,256,0.0931966719577267,1.220979006354100
utah_teapot.obj,Hash,64,0.0174428587547470,0.962384163208255
utah_teapot.obj,1LoD,64,0.0181051301069998,0.201171051633575
utah_teapot.obj,1LoD,128,0.0221294118100506,0.203771055051233
utah_teapot.obj,1LoD,256,0.0249854279036721,0.206150716312929
utah_teapot.obj,Hash,128,0.0420359656283751,1.150243573094190
